Year,CSUSHPINSA,CPI,IntrestRates,Gdp,median_price,Household-income,usp,mort-rate,Annual_unemp,Urban population (% of total population),houses sold,selling price,Population
2000,1257.326,78.97072076,6.235833333,145193,147300,67470,1024.663117,8.021111111,43.6,79.057,12100,169000,2149474800
2001,1358.228,81.20256846,3.8875,148400,156600,66360,893.6683844,6.967884615,52.7,79.234,12485,175200,2177621900
2002,1467.454,82.49046688,1.666666667,151815,167600,65820,908.7945054,6.537307692,63.7,79.409,13209,187600,2205426300
2003,1604.898,84.36307882,1.1275,157674,180200,65860,918.0250835,5.826981132,66.1,79.583,14522,195000,2243444300
2004,1805.577,86.62167812,1.349166667,166631,195200,65760,937.770444,5.839230769,60.8,79.757,15962,221000,2265135200
2005,2061.354,89.56053237,3.213333333,176203,219000,66780,927.0511833,5.866730769,55.7,79.928,16717,240900,2292342900
2006,2201.771,92.44970508,4.964166667,184932,221900,67520,941.3819783,6.413269231,50.6,80.099,15057,246500,2318626800
2007,2159.31,95.08699238,5.019166667,191899,217900,68610,943.0847397,6.337307692,50.8,80.269,11641,247900,2347934600
2008,1968.722,98.73747739,1.9275,193996,196600,66280,939.1124004,6.027169811,64.6,80.438,9180,232100,2359492000
2009,1782.63,98.38641997,0.16,188490,172100,65850,991.3589247,5.036538462,103.6,80.606,9429,216700,2375571000
2010,1735.967,100,0.175,194277,173100,64300,981.9596525,4.689807692,105.5,80.772,9026,221800,2389979500
2011,1670.874,103.1568416,0.101666667,199804,166200,63350,956.4108163,4.447884615,98.1,80.944,9132,227200,2399566600
2012,1691.831,105.2915045,0.14,206577,177200,63350,968.2922551,3.6575,88.6,81.119,10056,245200,2417704900
2013,1854.231,106.8338489,0.1075,212934,197400,65740,987.7829957,3.975576923,80.3,81.299,11049,268900,2427969000
2014,1976.123,108.5669321,0.089166667,220371,208900,64900,1017.835677,4.168867925,67.3,81.483,10745,288500,2436191800
2015,2065.994,108.695722,0.1325,227185,223900,68410,1055.090789,3.850576923,57.6,81.671,11522,294200,2452234500
2016,2170.878,110.0670089,0.395,231719,235500,70840,1086.291858,3.654038462,53.7,81.862,12022,307800,2466320400
2017,2296.573,112.4115573,1.001666667,240001,248800,72090,1110.675786,3.989807692,47.6,82.058,12257,323100,2467121100
2018,2429.46,115.1573032,1.831666667,251295,261600,73030,1151.431447,4.544615385,42.7,82.256,11913,326400,2478161400
2019,2513.212,117.2441955,2.158333333,260455,274600,78250,1176.624594,3.935769231,40.1,82.459,12056,321500,2475679100
2020,2665.289,118.6905016,0.375833333,257056,300200,76660,1209.590734,3.111698113,93.5,82.664,12924,336900,2471426400
2021,3120.335,124.2664138,0.08,283944,357100,76330,1203.354323,2.957692308,57.8,82.873,13782,397100,2464074100
2022,3581.264,134.2112062,1.683333333,308704,392800,74580,1237,5.344038462,39.6,83.084,11332,457800,2487439100
2023,3668.199,139.7357936,5.024166667,326488,394600,74580,1024.663117,6.806730769,40.1,83.298,9516,427400,2503948500
2024,1260.43,139.7357936,5.33,84057,394600,74580,1024.663117,6.871724138,19.7,83.298,9516,427400,1252263700